dataset,subject,budget,variant,accuracy,balanced_accuracy,kappa,macro_f1
bnci2014_004,4,all,soft_clif_exact,0.8677083333333333,0.8677083333333333,0.7354166666666666,0.8676292820853396
bnci2014_004,4,all,tcn_stat,0.8875000000000001,0.8875000000000001,0.775,0.8874430878794165
bnci2014_004,4,n100,ann_sew_ce,0.8375,0.8375,0.6749999999999999,0.8370754977647867
bnci2014_004,4,n100,ann_sew_equal,0.8447916666666666,0.8447916666666666,0.6895833333333332,0.8440449624626764
bnci2014_004,4,n100,sew_clif_ce,0.8395833333333332,0.8395833333333332,0.6791666666666666,0.8377381047801978
bnci2014_004,4,n100,sew_clif_equal,0.8479166666666665,0.8479166666666665,0.6958333333333333,0.8463055765684651
bnci2014_004,4,n25,ann_sew_ce,0.6687500000000001,0.6687500000000001,0.33749999999999997,0.6665043745195435
bnci2014_004,4,n25,ann_sew_equal,0.665625,0.665625,0.33125,0.6650467261912826
bnci2014_004,4,n25,gru_stat,0.8083333333333332,0.8083333333333332,0.6166666666666666,0.8067896130190917
bnci2014_004,4,n25,sew_clif_ce,0.771875,0.771875,0.5437500000000001,0.7667002153495543
bnci2014_004,4,n25,sew_clif_equal,0.7708333333333334,0.7708333333333334,0.5416666666666666,0.7660959026641159
bnci2014_004,4,n25,soft_clif_exact,0.7843749999999999,0.7843749999999999,0.56875,0.7813197986731777
bnci2014_004,4,n25,tcn_stat,0.7979166666666666,0.7979166666666666,0.5958333333333333,0.794278488512495
bnci2014_004,4,n50,ann_sew_ce,0.765625,0.765625,0.53125,0.7650563040312667
bnci2014_004,4,n50,ann_sew_equal,0.7781250000000001,0.7781250000000001,0.55625,0.7768360458193501
bnci2014_004,4,n50,sew_clif_ce,0.8250000000000001,0.8250000000000001,0.65,0.822346663882166
bnci2014_004,4,n50,sew_clif_equal,0.8302083333333333,0.8302083333333332,0.6604166666666667,0.8286800891192548
bnci2014_004,5,all,ann_sew_ce,0.7979166666666666,0.7979166666666666,0.5958333333333333,0.7976121529401244
bnci2014_004,5,all,ann_sew_equal,0.8020833333333334,0.8020833333333334,0.6041666666666666,0.8016609163439719
bnci2014_004,5,all,gru_stat,0.8364583333333333,0.8364583333333334,0.6729166666666666,0.8351224401536612
bnci2014_004,5,all,sew_clif_ce,0.8072916666666666,0.8072916666666666,0.6145833333333334,0.806090226835375
bnci2014_004,5,all,sew_clif_equal,0.8072916666666666,0.8072916666666666,0.6145833333333334,0.806455163160881
bnci2014_004,5,all,soft_clif_exact,0.8125,0.8125,0.625,0.8092867956743244
bnci2014_004,5,all,tcn_stat,0.8177083333333334,0.8177083333333334,0.6354166666666666,0.8164609329865491
bnci2014_004,5,n100,ann_sew_ce,0.7624999999999998,0.7624999999999998,0.525,0.7601473596189611
bnci2014_004,5,n100,ann_sew_equal,0.7447916666666666,0.7447916666666666,0.4895833333333333,0.7426857750923976
bnci2014_004,5,n100,sew_clif_ce,0.8041666666666666,0.8041666666666666,0.6083333333333333,0.8016429723610389
bnci2014_004,5,n100,sew_clif_equal,0.7999999999999999,0.7999999999999999,0.6,0.7975342690022426
bnci2014_004,5,n25,ann_sew_ce,0.5947916666666666,0.5947916666666666,0.18958333333333335,0.5602071495698825
bnci2014_004,5,n25,ann_sew_equal,0.6104166666666667,0.6104166666666667,0.22083333333333335,0.5953441254326721
bnci2014_004,5,n25,gru_stat,0.7791666666666667,0.7791666666666667,0.5583333333333332,0.7748985182327494
bnci2014_004,5,n25,sew_clif_ce,0.7708333333333334,0.7708333333333334,0.5416666666666666,0.76441897384248
bnci2014_004,5,n25,sew_clif_equal,0.75625,0.75625,0.5125000000000001,0.7498127504156544
bnci2014_004,5,n25,soft_clif_exact,0.7781250000000001,0.7781249999999998,0.55625,0.7709345829015183
bnci2014_004,5,n25,tcn_stat,0.7583333333333333,0.7583333333333334,0.5166666666666667,0.7517050910114899
bnci2014_004,5,n50,ann_sew_ce,0.6614583333333333,0.6614583333333333,0.3229166666666666,0.6471608967372814
bnci2014_004,5,n50,ann_sew_equal,0.6333333333333333,0.6333333333333333,0.26666666666666666,0.616264411994231
bnci2014_004,5,n50,sew_clif_ce,0.7729166666666667,0.7729166666666667,0.5458333333333333,0.766986293400486
bnci2014_004,5,n50,sew_clif_equal,0.790625,0.790625,0.5812499999999999,0.787689661299877
bnci2014_004,6,all,ann_sew_ce,0.5375,0.5375,0.075,0.5258552611245882
bnci2014_004,6,all,ann_sew_equal,0.5333333333333333,0.5333333333333333,0.06666666666666665,0.5289069434145246
bnci2014_004,6,all,gru_stat,0.571875,0.571875,0.14375000000000004,0.5588692692136269
bnci2014_004,6,all,sew_clif_ce,0.5437500000000001,0.5437500000000001,0.08749999999999998,0.5261791178350298
bnci2014_004,6,all,sew_clif_equal,0.5604166666666667,0.5604166666666667,0.12083333333333335,0.5484370529565209
