dataset,subject,seed,budget,variant,experiment,accuracy,balanced_accuracy,kappa,macro_f1
bci2a,4,2,n25,ann_sew_equal,REV-E3,0.5347222222222222,0.5347222222222222,0.3796296296296296,0.5182262094592671
bci2a,4,2,n50,ann_sew_equal,REV-E3,0.5798611111111112,0.5798611111111112,0.4398148148148149,0.5740606782775458
bci2a,4,2,all,ann_sew_equal,REV-E3,0.6145833333333334,0.6145833333333334,0.48611111111111116,0.6070601003324434
bci2a,4,2,n25,sew_clif_equal,REV-E3,0.6006944444444444,0.6006944444444444,0.46759259259259256,0.5862058300032083
bci2a,4,2,n50,sew_clif_equal,REV-E3,0.6597222222222222,0.6597222222222222,0.5462962962962963,0.6520847563595138
bci2a,4,2,all,sew_clif_equal,REV-E3,0.6736111111111112,0.6736111111111112,0.5648148148148149,0.668999496386119
bci2a,4,2,n25,ann_sew_ce,RECOVERED_PARENT,0.5104166666666666,0.5104166666666666,0.34722222222222215,0.49654482771864306
bci2a,4,2,n25,sew_clif_ce,RECOVERED_PARENT,0.5868055555555556,0.5868055555555556,0.4490740740740741,0.5713235894422223
bci2a,4,2,all,ann_sew_ce,RECOVERED_PARENT,0.5868055555555556,0.5868055555555556,0.4490740740740741,0.5786500339066046
bci2a,4,2,all,sew_clif_ce,RECOVERED_PARENT,0.65625,0.65625,0.5416666666666666,0.6492451790633609
bci2a,4,2,n50,ann_sew_ce,RECOVERED_PARENT,0.5694444444444444,0.5694444444444444,0.4259259259259259,0.5620663228110159
bci2a,4,2,n50,sew_clif_ce,RECOVERED_PARENT,0.6319444444444444,0.6319444444444444,0.5092592592592592,0.6223750801158102
bci2a,5,0,n25,soft_clif_exact,REV-E1,0.5868055555555556,0.5868055555555556,0.4490740740740741,0.5577098944612555
bci2a,5,0,all,soft_clif_exact,REV-E1,0.6354166666666666,0.6354166666666667,0.5138888888888888,0.6054777692859408
bci2a,5,0,n25,gru_stat,REV-E2,0.6111111111111112,0.6111111111111112,0.48148148148148157,0.5892122887539737
bci2a,5,0,all,gru_stat,REV-E2,0.625,0.625,0.5,0.6114935225825062
bci2a,5,0,n25,tcn_stat,REV-E2,0.5625,0.5625,0.4166666666666667,0.5303405207144916
bci2a,5,0,all,tcn_stat,REV-E2,0.6284722222222222,0.6284722222222222,0.5046296296296297,0.5964696337296831
bci2a,5,0,n25,ann_sew_equal,REV-E3,0.5069444444444444,0.5069444444444444,0.34259259259259256,0.5023923306448015
bci2a,5,0,n50,ann_sew_equal,REV-E3,0.4791666666666667,0.47916666666666663,0.3055555555555556,0.47510156264762016
bci2a,5,0,all,ann_sew_equal,REV-E3,0.5902777777777778,0.5902777777777778,0.4537037037037037,0.5841258508027174
bci2a,5,0,n25,sew_clif_equal,REV-E3,0.5763888888888888,0.5763888888888888,0.4351851851851851,0.5401212715709075
bci2a,5,0,n50,sew_clif_equal,REV-E3,0.6076388888888888,0.6076388888888888,0.4768518518518518,0.5904188281100827
bci2a,5,0,all,sew_clif_equal,REV-E3,0.6006944444444444,0.6006944444444444,0.46759259259259256,0.5752029686318593
bci2a,5,0,n25,ann_sew_ce,RECOVERED_PARENT,0.5034722222222222,0.5034722222222222,0.33796296296296297,0.4882912908007226
bci2a,5,0,n25,sew_clif_ce,RECOVERED_PARENT,0.5798611111111112,0.5798611111111112,0.4398148148148149,0.5389586769172499
bci2a,5,0,all,ann_sew_ce,RECOVERED_PARENT,0.5625,0.5625,0.4166666666666667,0.5555806003068662
bci2a,5,0,all,sew_clif_ce,RECOVERED_PARENT,0.6145833333333334,0.6145833333333334,0.48611111111111116,0.5991970727685014
bci2a,5,0,n50,ann_sew_ce,RECOVERED_PARENT,0.5138888888888888,0.5138888888888888,0.3518518518518518,0.5092104056923458
bci2a,5,0,n50,sew_clif_ce,RECOVERED_PARENT,0.6111111111111112,0.6111111111111112,0.48148148148148157,0.601837350955247
bci2a,5,1,n25,soft_clif_exact,REV-E1,0.5347222222222222,0.5347222222222222,0.3796296296296296,0.4710395963675211
bci2a,5,1,all,soft_clif_exact,REV-E1,0.59375,0.59375,0.4583333333333333,0.5359749798955317
bci2a,5,1,n25,gru_stat,REV-E2,0.5972222222222222,0.5972222222222222,0.46296296296296297,0.552485032244678
