dataset,subject,seed,budget,variant,eligible_event_accumulations,scope,actual_gpu_sparse_execution_measured,energy_claim_supported
openbmi,26,1,n25,sew_clif_equal,76604,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,26,1,all,sew_clif_equal,80238,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,26,2,n25,sew_clif_equal,80740,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,26,2,all,sew_clif_equal,93689,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,27,0,n25,sew_clif_equal,72422,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,27,0,all,sew_clif_equal,79518,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,27,1,n25,sew_clif_equal,83456,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,27,1,all,sew_clif_equal,97029,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,27,2,n25,sew_clif_equal,86672,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,27,2,all,sew_clif_equal,93804,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,28,0,n25,sew_clif_equal,83807,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,28,0,all,sew_clif_equal,98392,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,28,1,n25,sew_clif_equal,96036,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,28,1,all,sew_clif_equal,95203,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,28,2,n25,sew_clif_equal,83874,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,28,2,all,sew_clif_equal,90483,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,29,0,n25,sew_clif_equal,91385,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,29,0,all,sew_clif_equal,95670,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,29,1,n25,sew_clif_equal,90111,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,29,1,all,sew_clif_equal,93651,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,29,2,n25,sew_clif_equal,108533,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,29,2,all,sew_clif_equal,88209,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,30,0,n25,sew_clif_equal,82686,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,30,0,all,sew_clif_equal,81080,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,30,1,n25,sew_clif_equal,80334,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,30,1,all,sew_clif_equal,80635,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,30,2,n25,sew_clif_equal,85106,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,30,2,all,sew_clif_equal,80535,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,31,0,n25,sew_clif_equal,75972,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,31,0,all,sew_clif_equal,80292,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,31,1,n25,sew_clif_equal,87979,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,31,1,all,sew_clif_equal,85233,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,31,2,n25,sew_clif_equal,90537,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,31,2,all,sew_clif_equal,79322,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,32,0,n25,sew_clif_equal,102126,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,32,0,all,sew_clif_equal,93320,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,32,1,n25,sew_clif_equal,88158,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,32,1,all,sew_clif_equal,98075,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,32,2,n25,sew_clif_equal,110584,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,32,2,all,sew_clif_equal,106690,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,33,0,n25,sew_clif_equal,88994,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,33,0,all,sew_clif_equal,94028,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,33,1,n25,sew_clif_equal,104559,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,33,1,all,sew_clif_equal,105443,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,33,2,n25,sew_clif_equal,97201,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,33,2,all,sew_clif_equal,114820,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,34,0,n25,sew_clif_equal,95331,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,34,0,all,sew_clif_equal,83411,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,34,1,n25,sew_clif_equal,91867,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,34,1,all,sew_clif_equal,87418,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,34,2,n25,sew_clif_equal,74906,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,34,2,all,sew_clif_equal,90771,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,35,0,n25,sew_clif_equal,96746,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,35,0,all,sew_clif_equal,83514,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,35,1,n25,sew_clif_equal,85817,optimistic_directly_event_triggerable_additions_only,False,False
