dataset,subject,seed,budget,variant,layer,firing_rate,event_sparsity,events,denominator_elements,denominator_definition,total_events_all_layers
bci2a,5,1,n50,sew_clif_equal,1,0.04181435667438271,0.9581856433256173,13873,331776,batch_x_channel_x_time,153314
bci2a,5,1,n50,sew_clif_equal,2,0.05527524594907408,0.9447247540509259,18339,331776,batch_x_channel_x_time,153314
bci2a,5,1,n50,sew_clif_equal,3,0.16428554205246915,0.8357144579475309,54506,331776,batch_x_channel_x_time,153314
bci2a,5,1,all,sew_clif_equal,0,0.19851044077932098,0.801489559220679,65861,331776,batch_x_channel_x_time,151684
bci2a,5,1,all,sew_clif_equal,1,0.04186861014660494,0.9581313898533951,13891,331776,batch_x_channel_x_time,151684
bci2a,5,1,all,sew_clif_equal,2,0.05422031732253087,0.9457796826774691,17989,331776,batch_x_channel_x_time,151684
bci2a,5,1,all,sew_clif_equal,3,0.16258861400462962,0.8374113859953703,53943,331776,batch_x_channel_x_time,151684
bci2a,5,2,n25,sew_clif_equal,0,0.19483326099537038,0.8051667390046297,64641,331776,batch_x_channel_x_time,149469
bci2a,5,2,n25,sew_clif_equal,1,0.042182074652777776,0.9578179253472222,13995,331776,batch_x_channel_x_time,149469
bci2a,5,2,n25,sew_clif_equal,2,0.05233350212191358,0.9476664978780864,17363,331776,batch_x_channel_x_time,149469
bci2a,5,2,n25,sew_clif_equal,3,0.16116295331790123,0.8388370466820988,53470,331776,batch_x_channel_x_time,149469
bci2a,5,2,n50,sew_clif_equal,0,0.20002953800154322,0.7999704619984568,66365,331776,batch_x_channel_x_time,152365
bci2a,5,2,n50,sew_clif_equal,1,0.04311342592592592,0.9568865740740741,14304,331776,batch_x_channel_x_time,152365
bci2a,5,2,n50,sew_clif_equal,2,0.052243079668209874,0.9477569203317902,17333,331776,batch_x_channel_x_time,152365
bci2a,5,2,n50,sew_clif_equal,3,0.16385452835648148,0.8361454716435185,54363,331776,batch_x_channel_x_time,152365
bci2a,5,2,all,sew_clif_equal,0,0.1907401379243827,0.8092598620756173,63283,331776,batch_x_channel_x_time,139682
bci2a,5,2,all,sew_clif_equal,1,0.03346836419753087,0.9665316358024691,11104,331776,batch_x_channel_x_time,139682
bci2a,5,2,all,sew_clif_equal,2,0.04593460648148148,0.9540653935185185,15240,331776,batch_x_channel_x_time,139682
bci2a,5,2,all,sew_clif_equal,3,0.15086986400462962,0.8491301359953703,50055,331776,batch_x_channel_x_time,139682
bci2a,6,0,n25,sew_clif_equal,0,0.1849440586419753,0.8150559413580247,61360,331776,batch_x_channel_x_time,152234
bci2a,6,0,n25,sew_clif_equal,1,0.04554578993055555,0.9544542100694444,15111,331776,batch_x_channel_x_time,152234
bci2a,6,0,n25,sew_clif_equal,2,0.0651343074845679,0.9348656925154321,21610,331776,batch_x_channel_x_time,152234
bci2a,6,0,n25,sew_clif_equal,3,0.16322157118055555,0.8367784288194444,54153,331776,batch_x_channel_x_time,152234
bci2a,6,0,n50,sew_clif_equal,0,0.17885862750771606,0.8211413724922839,59341,331776,batch_x_channel_x_time,133858
bci2a,6,0,n50,sew_clif_equal,1,0.031219859182098766,0.9687801408179012,10358,331776,batch_x_channel_x_time,133858
bci2a,6,0,n50,sew_clif_equal,2,0.049213927469135804,0.9507860725308642,16328,331776,batch_x_channel_x_time,133858
bci2a,6,0,n50,sew_clif_equal,3,0.14416654610339505,0.8558334538966049,47831,331776,batch_x_channel_x_time,133858
bci2a,6,0,all,sew_clif_equal,0,0.18619188850308643,0.8138081114969136,61774,331776,batch_x_channel_x_time,138860
bci2a,6,0,all,sew_clif_equal,1,0.03284444926697531,0.9671555507330247,10897,331776,batch_x_channel_x_time,138860
bci2a,6,0,all,sew_clif_equal,2,0.05002170138888889,0.9499782986111112,16596,331776,batch_x_channel_x_time,138860
bci2a,6,0,all,sew_clif_equal,3,0.1494773582175926,0.8505226417824074,49593,331776,batch_x_channel_x_time,138860
bci2a,6,1,n25,sew_clif_equal,0,0.1938868393132716,0.8061131606867284,64327,331776,batch_x_channel_x_time,153909
bci2a,6,1,n25,sew_clif_equal,1,0.0408227237654321,0.9591772762345679,13544,331776,batch_x_channel_x_time,153909
bci2a,6,1,n25,sew_clif_equal,2,0.0638111255787037,0.9361888744212963,21171,331776,batch_x_channel_x_time,153909
bci2a,6,1,n25,sew_clif_equal,3,0.1653736255787037,0.8346263744212963,54867,331776,batch_x_channel_x_time,153909
bci2a,6,1,n50,sew_clif_equal,0,0.1984742717978395,0.8015257282021605,65849,331776,batch_x_channel_x_time,158647
bci2a,6,1,n50,sew_clif_equal,1,0.044997227044753084,0.9550027729552469,14929,331776,batch_x_channel_x_time,158647
bci2a,6,1,n50,sew_clif_equal,2,0.06452244888117284,0.9354775511188271,21407,331776,batch_x_channel_x_time,158647
bci2a,6,1,n50,sew_clif_equal,3,0.17018108603395063,0.8298189139660493,56462,331776,batch_x_channel_x_time,158647
bci2a,6,1,all,sew_clif_equal,0,0.19688886477623457,0.8031111352237654,65323,331776,batch_x_channel_x_time,146015
bci2a,6,1,all,sew_clif_equal,1,0.03795633198302469,0.9620436680169753,12593,331776,batch_x_channel_x_time,146015
bci2a,6,1,all,sew_clif_equal,2,0.04823435088734568,0.9517656491126543,16003,331776,batch_x_channel_x_time,146015
bci2a,6,1,all,sew_clif_equal,3,0.1570216049382716,0.8429783950617284,52096,331776,batch_x_channel_x_time,146015
bci2a,6,2,n25,sew_clif_equal,0,0.19371503665123457,0.8062849633487654,64270,331776,batch_x_channel_x_time,151815
bci2a,6,2,n25,sew_clif_equal,1,0.04706187307098766,0.9529381269290124,15614,331776,batch_x_channel_x_time,151815
bci2a,6,2,n25,sew_clif_equal,2,0.05357228973765432,0.9464277102623457,17774,331776,batch_x_channel_x_time,151815
bci2a,6,2,n25,sew_clif_equal,3,0.16323362750771606,0.8367663724922839,54157,331776,batch_x_channel_x_time,151815
