contrast,left,right,dataset,budget,metric,participants,mean_difference,bootstrap_95_lower,bootstrap_95_upper
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bci2a,n50,balanced_accuracy,9,0.08474794238683125,0.07073045267489711,0.09850823045267486
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bci2a,n50,kappa,9,0.11299725651577501,0.09430727023319613,0.13151577503429346
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bci2a,n50,macro_f1,9,0.07924730488890447,0.06439452061299651,0.09496153742565569
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bnci2014_004,all,accuracy,9,0.012929894179894189,0.005555555555555597,0.02007275132275135
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bnci2014_004,all,balanced_accuracy,9,0.012929894179894165,0.005753968253968215,0.020155423280423284
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bnci2014_004,all,kappa,9,0.025859788359788374,0.011574074074074141,0.04008101851851852
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bnci2014_004,all,macro_f1,9,0.0116489633259143,0.004700444820054523,0.018205197205013443
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bnci2014_004,n100,accuracy,9,0.014021164021163983,-4.9343245538895844e-17,0.029976851851851814
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bnci2014_004,n100,balanced_accuracy,9,0.014021164021163983,-9.92063492063982e-05,0.0297457837301587
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bnci2014_004,n100,kappa,9,0.02804232804232805,-0.00016617063492067101,0.05972222222222226
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bnci2014_004,n100,macro_f1,9,0.0132400176222184,-0.0010415486886993586,0.029155530646735026
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bnci2014_004,n25,accuracy,9,0.07881944444444444,0.039236111111111104,0.1166666666666667
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bnci2014_004,n25,balanced_accuracy,9,0.07881944444444444,0.039236111111111104,0.11724537037037042
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bnci2014_004,n25,kappa,9,0.1576388888888889,0.07661458333333332,0.23357060185185183
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bnci2014_004,n25,macro_f1,9,0.08030464659451048,0.041949957081592,0.1173477418649068
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bnci2014_004,n50,accuracy,9,0.05317460317460317,0.018220899470899457,0.09137028769841272
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bnci2014_004,n50,balanced_accuracy,9,0.05317460317460318,0.01843336640211638,0.09252934854497356
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bnci2014_004,n50,kappa,9,0.10634920634920635,0.03621031746031745,0.1833358134920634
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,bnci2014_004,n50,macro_f1,9,0.05387099240708468,0.01778697562859351,0.09469712792695206
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,openbmi,all,accuracy,54,0.05518518518518518,0.037345679012345694,0.0736435185185185
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,openbmi,all,balanced_accuracy,54,0.05518518518518515,0.03728395061728394,0.07376697530864194
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,openbmi,all,kappa,54,0.11037037037037035,0.07432098765432099,0.14629629629629626
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,openbmi,all,macro_f1,54,0.0546146628543069,0.03445825031994718,0.07480989420261142
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,openbmi,n25,accuracy,54,0.06660493827160495,0.04876388888888889,0.08537037037037037
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,openbmi,n25,balanced_accuracy,54,0.06660493827160494,0.04851851851851849,0.08543209876543205
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,openbmi,n25,kappa,54,0.13320987654320987,0.09728395061728394,0.1702469135802469
REV-E3_HardEqual_minus_ANNEqual,sew_clif_equal,ann_sew_equal,openbmi,n25,macro_f1,54,0.06366194761912221,0.042435157363736785,0.08520895952409384
